village,gender,primary_water_source,primary_water_other,distance_in_meters
Kabong'o,Female,Open wells in homesteads,NA,647.47
Kokech,Female,Open wells in homesteads,NA,402.14
Kogola East,Male,Open wells in homesteads,NA,373.21
Kagola West,Female,Open wells in homesteads,NA,684.5
Kabong'o,Female,Open wells in homesteads,NA,531.15
Borda,Female,Open wells in homesteads,NA,738.93
Kagola West,Male,Open wells in homesteads,NA,754.63
Kaswa,Female,Open wells in homesteads,NA,708.48
Kabong'o,Female,Open wells in homesteads,NA,13.45
Kokech,Male,Protected public wells,NA,213.67
Borda,Male,Open wells in homesteads,NA,749.1
Kagola West,Male,Protected public wells,NA,642.43
Kabong'o,Male,Open wells in homesteads,NA,113.13
Kaswa,Male,Open wells in homesteads,NA,600.88
Kokech,Female,Open wells in homesteads,NA,287.96
Kabong'o,Female,Open wells in homesteads,NA,236.69
Kogola East,Female,Open wells in homesteads,NA,476.18
Borda,Female,Open wells in homesteads,NA,535.27
Kagola West,Female,Open wells in homesteads,NA,372.58
Kabong'o,Female,Open wells in homesteads,NA,415.66
Kogola East,Male,Open wells in homesteads,NA,495.71
Kagola West,Female,Open wells in homesteads,NA,235.84
Kabong'o,Male,Open wells in homesteads,NA,534.19
Kokech,Male,Protected public wells,NA,621.96
Kabong'o,Male,Open wells in homesteads,NA,511.71
Kogola East,Female,Protected public wells,NA,627.85
Kokech,Female,Protected public wells,NA,712.37
Kagola West,Female,Open wells in homesteads,NA,390.67
Kogola East,Female,Protected public wells,NA,786.2
Kagola West,Female,Open wells in homesteads,NA,444.1
Kokech,Female,Protected public wells,NA,800.05
Kokech,Male,Open wells in homesteads,NA,316.26
Kokech,Female,Protected public wells,NA,598.15
Kokech,Female,Open wells in homesteads,NA,452.42
Kokech,Male,Open wells in homesteads,NA,469.47
Kogola East,Female,Open wells in homesteads,NA,287.02
Kokech,Female,Protected public wells,NA,436.1
Kabong'o,Female,Open wells in homesteads,NA,501.42
Kabong'o,Male,Open wells in homesteads,NA,473.5
Kabong'o,Male,Open wells in homesteads,NA,430.82
Kabong'o,Female,Open wells in homesteads,NA,650
Kokech,Male,Protected public wells,NA,675.76
Kagola West,Female,Open wells in homesteads,NA,263.43
Kabong'o,Female,Open wells in homesteads,NA,562.08
Kokech,Male,Open wells in homesteads,NA,490.15
Kokech,Male,Protected public wells,NA,974.97
Kabong'o,Female,Open wells in homesteads,NA,533.8
Kabong'o,Male,Open wells in homesteads,NA,608.5
Kokech,Female,Protected public wells,NA,1100.29
Kokech,Male,Protected public wells,NA,1111.64
Kagola West,Female,Protected public wells,NA,441.95
Kokech,Female,Open wells in homesteads,NA,793.48
Borda,Female,Open wells in homesteads,NA,595.51
Kagola West,Male,Protected public wells,NA,277.16
Kagola West,Male,Rainwater Harvesting,NA,514.6
Kagola West,Male,Protected public wells,NA,335.57
Kagola West,Female,Protected public wells,NA,436.5
Kokech,Female,Open wells in homesteads,NA,581.24
Kagola West,Female,Protected public wells,NA,503.46
Kagola West,Female,Protected public wells,NA,476.46
Kokech,Female,Open wells in homesteads,NA,777.38
Kokech,Male,Open wells in homesteads,NA,359.57
Kogola East,Female,Protected public wells,NA,462.44
Kogola East,Male,Protected public wells,NA,678.54
Kabong'o,Female,Open wells in homesteads,NA,338.47
Kokech,Female,Open wells in homesteads,NA,351.19
Kogola East,Female,Open wells in homesteads,NA,594.5
Kagola West,Male,Protected public wells,NA,635.79
Kogola East,Male,Open wells in homesteads,NA,513.47
Kagola West,Male,Open wells in homesteads,NA,323.65
Kogola East,Male,Open wells in homesteads,NA,431.78
Kagola West,Male,Open wells in homesteads,NA,409.71
Kabong'o,Male,Open wells in homesteads,NA,354.38
Kokech,Female,Open wells in homesteads,NA,513.73
Kogola East,Male,Protected public wells,NA,291.41
Kabong'o,Male,Open wells in homesteads,NA,570.48
Kagola West,Female,Open wells in homesteads,NA,498.28
Kagola West,Female,Protected public wells,NA,429.31
Kaswa,Female,Open wells in homesteads,NA,419.71
Kabong'o,Female,Open wells in homesteads,NA,1733.81
Kabong'o,Female,Open wells in homesteads,NA,1416.57
Kabong'o,Female,Protected public wells,NA,1342.89
Kabong'o,Male,Open wells in homesteads,NA,1530.52
Kabong'o,Male,Open wells in homesteads,NA,1471.07
Kaswa,Male,Open wells in homesteads,NA,470.33
Kagola West,Male,Protected public wells,NA,470.88
Kabong'o,Female,Open wells in homesteads,NA,361.34
Kokech,Female,Open wells in homesteads,NA,730.73
Kagola West,Female,Open wells in homesteads,NA,457.22
Kokech,Female,Protected public wells,NA,440.23
Kabong'o,Male,Protected public wells,NA,325.22
Kagola West,Female,Open wells in homesteads,NA,530.13
Kaswa,Female,Open wells in homesteads,NA,742.3
Kagola West,Female,"Others, specify",Open wells from the neighbourhood,242.08
Kaswa,Male,Protected public wells,NA,716.32
Kaswa,Female,Protected public wells,NA,653.75
Kaswa,Female,Open wells in homesteads,NA,413.9
Kokech,Male,Open wells in homesteads,NA,759.33
Kokech,Female,Open wells in homesteads,NA,367.91
Borda,Female,Open wells in homesteads,NA,726.29
Kokech,Male,Open wells in homesteads,NA,310.25
Kabong'o,Female,Open wells in homesteads,NA,439.75
Kagola West,Female,Open wells in homesteads,NA,527.04
Kogola East,Male,Protected public wells,NA,879.16
Kogola East,Male,Open wells in homesteads,NA,873.74
Kabong'o,Female,Open wells in homesteads,NA,613.1
Kabong'o,Male,Open wells in homesteads,NA,633.66
Kagola West,Male,Open wells in homesteads,NA,363.69
Kokech,Female,Open wells in homesteads,NA,616.43
Kokech,Female,Open wells in homesteads,NA,793.11
Kogola East,Female,Open wells in homesteads,NA,885.61
Kagola West,Female,Open wells in homesteads,NA,601.1
Kokech,Male,Open wells in homesteads,NA,466.86
Kokech,Male,Protected public wells,NA,582.77
Kokech,Male,Protected public wells,NA,935.2
Kagola West,Male,"Others, specify",From my Sons homestead,468.7
Kogola East,Male,Protected public wells,NA,721.19
Kokech,Male,Open wells in homesteads,NA,673.43
Kokech,Male,Protected public wells,NA,1003.48
Kabong'o,Male,Open wells in homesteads,NA,647.15
Kagola West,Female,Open wells in homesteads,NA,254.97
Kokech,Female,Protected public wells,NA,978.15
Kogola East,Female,Protected public wells,NA,746.67
Kokech,Male,Open wells in homesteads,NA,457.66
Kagola West,Female,Open wells in homesteads,NA,444.69
Kabong'o,Male,Open wells in homesteads,NA,420.76
Kokech,Female,Protected public wells,NA,762.48
Kogola East,Male,Protected public wells,NA,834.65
Kagola West,Female,Open wells in homesteads,NA,295.92
Kabong'o,Male,Protected public wells,NA,790.95
Kogola East,Male,Protected public wells,NA,758.04
Kabong'o,Male,Open wells in homesteads,NA,741.13
Kokech,Male,Protected public wells,NA,512.75
Kagola West,Female,Protected public wells,NA,725.42
Kokech,Male,Protected public wells,NA,304.13
Kagola West,Female,Open wells in homesteads,NA,803.64
Kabong'o,Male,Open wells in homesteads,NA,1042.22
Kabong'o,Male,Open wells in homesteads,NA,909.41
Kokech,Male,Protected public wells,NA,182.3
Kagola West,Male,Protected public wells,NA,852.16
Kokech,Male,Protected public wells,NA,530.19
Kagola West,Female,Protected public wells,NA,721.36
Kogola East,Female,Protected public wells,NA,526.49
Kagola West,Male,Protected public wells,NA,628.04
Kagola West,Male,Protected public wells,NA,723.53
Kogola East,Male,Protected public wells,NA,419.71
Kagola West,Male,Protected public wells,NA,606.63
Kagola West,Male,Open wells in homesteads,NA,335.5
