,,,,,,,,,,
Response,Count,Percentage,,,,,,,,
No,218,0.779,,,,,,,,
Yes,21,0.075,,,,,,,,
Not Sure,41,0.146,,,,,,,,
Total,280,1,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,Response,Count,Percentage,,,,,
,,,Yes,231,82.50%,,,,,
,,,No,49,17.50%,,,,,
,,,Total,280,100%,,,,,
,,,"Analysis: Extremely high level of contribution, indicating strong co-investment and ownership.",,,,,,,
,,,Type of Contribution (Multiple responses possible):,,,,,,,
,,,Contribution Type,Count,Percentage (of 231 contributors),,,,,
,,,Labour,126,54.50%,,,,,
,,,Land,179,77.50%,,,,,
,,,"Materials (sand, etc.)",29,12.60%,,,,,
,,,Cash,27,11.70%,,,,,
,,,"Other (e.g., tools)",10,4.30%,,,,,
,,,Nature of Contribution:,,,,,,,
,,,Response,Count,Percentage (of 231),,,,,
,,,Voluntary,179,77.50%,,,,,
,,,Requested by project,43,18.60%,,,,,
,,,Don’t remember,9,3.90%,,,,,
,,,Total,231,100%,,,,,
,,,"Analysis: Land was the most common contribution, followed by labor. Critically, the vast majority (77.5%) contributed voluntarily, which is a powerful indicator of community buy-in and support for the project's goals.",,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Contribution Type,Count,Percentage (of 231 contributors),,,,,,
,,Labour,126,0.545,,,,,,
,,Land,179,0.775,,,,,,
,,"Materials (sand, etc.)",29,0.126,,,,,,
,,Cash,27,0.117,,,,,,
,,"Other (e.g., tools)",10,0.043,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,Response,Count,Percentage (of 231),
,,,,,,,Voluntary,179,0.775,
,,,,,,,Requested by project,43,0.186,
,,,,,,,Don’t remember,9,0.039,
,,,,,,,Total,231,1,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,Response,Count,Percentage,,,,,,
,,"Yes, good value",238,0.85,,,,,,
,,Fair value,33,0.118,,,,,,
,,Poor value,0,0,,,,,,
,,Don’t know,9,0.032,,,,,,
,,Total,280,1,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,More efficient,256,0.914,,
,,,,,,About the same,5,0.018,,
,,,,,,Less efficient,1,0.004,,
,,,,,,Don’t know / Compare,18,0.064,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,Response,Count,Percentage,,,,
,,,,Yes,199,0.711,,,,
,,,,No,67,0.239,,,,
,,,,Not sure,14,0.05,,,,
,,,,Total,280,1,,,,
