village,gender_hh,kiosk_use_frequency,n,pct
Borda,Female,3–6 times/week,1,8.3
Borda,Female,Daily,6,50
Borda,Female,Never,2,16.7
Borda,Female,Rarely,3,25
Borda,Male,Daily,10,90.9
Borda,Male,Never,1,9.1
Kabong'o,Female,1–2 times/week,1,2.4
Kabong'o,Female,3–6 times/week,1,2.4
Kabong'o,Female,Daily,27,64.3
Kabong'o,Female,Never,9,21.4
Kabong'o,Female,Rarely,4,9.5
Kabong'o,Male,3–6 times/week,3,7.1
Kabong'o,Male,Daily,22,52.4
Kabong'o,Male,Never,11,26.2
Kabong'o,Male,Rarely,6,14.3
Kagola West,Female,3–6 times/week,1,3.2
Kagola West,Female,Daily,6,19.4
Kagola West,Female,Never,15,48.4
Kagola West,Female,Rarely,9,29
Kagola West,Male,1–2 times/week,1,3.2
Kagola West,Male,3–6 times/week,4,12.9
Kagola West,Male,Daily,9,29
Kagola West,Male,Never,13,41.9
Kagola West,Male,Rarely,4,12.9
Kaswa,Female,Daily,7,53.8
Kaswa,Female,Never,5,38.5
Kaswa,Female,Rarely,1,7.7
Kaswa,Male,1–2 times/week,1,7.7
Kaswa,Male,Daily,8,61.5
Kaswa,Male,Never,3,23.1
Kaswa,Male,Rarely,1,7.7
Kogola East,Female,1–2 times/week,1,6.7
Kogola East,Female,3–6 times/week,2,13.3
Kogola East,Female,Daily,5,33.3
Kogola East,Female,Never,3,20
Kogola East,Female,Rarely,4,26.7
Kogola East,Male,3–6 times/week,3,18.8
Kogola East,Male,Daily,4,25
Kogola East,Male,Never,3,18.8
Kogola East,Male,Rarely,6,37.5
Kokech,Female,Daily,8,29.6
Kokech,Female,Never,13,48.1
Kokech,Female,Rarely,6,22.2
Kokech,Male,3–6 times/week,1,3.7
Kokech,Male,Daily,5,18.5
Kokech,Male,Never,11,40.7
Kokech,Male,Rarely,10,37
